iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
SYR	Syrian Arab Republic	184004.0	161.342	0.0	Asia	1.0	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	FRA	TUR	.	.	.	.	.
TCD	Chad	1284005.0	426.2036	1.0	Africa	1.0	25	French	Arabic	.	Arabic	.	.	.	Ngambay	.	.	.	FRA	.	.	.	.	.	.
TGO	Togo	56785.0	89.62943	0.0	Africa	1.0	25	French	.	.	French	Éwé	.	.	Kabiyé	.	.	.	FRA	.	.	.	.	.	.
THA	Thailand	513115.0	269.427	0.0	Asia	1.0	25	Thai	.	.	Thai	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TJK	Tajikistan	143095.0	142.2807	1.0	Asia	1.0	25	Tajik	.	.	Tajik	.	.	.	.	.	.	.	RUS	.	.	.	.	.	.
TKM	Turkmenistan	488100.0	262.7775	1.0	Asia	1.0	25	Turkmen	.	.	Turkmen	.	.	.	.	.	.	.	RUS	.	.	.	.	.	.
TLS	East Timor	14874.0	45.872	0.0	Asia	1.0	19	Tetum	Portuguese	.	Tetum	Mambae	.	.	.	.	.	.	PRT	IDN	.	.	IDN	.	.
TON	Tonga	748.0	10.2869	0.0	Pacific	1.0	9	Tongan	English	.	Tongan	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
TTO	Trinidad and Tobago	5130.0	26.93968	0.0	America	1.0	22	English	.	.	English	.	.	.	Lesser Antillean Creole French	.	.	.	GBR	.	.	.	.	.	.
TUN	Tunisia	164150.0	152.3892	0.0	Africa	1.0	25	Arabic	French	.	Arabic	.	.	.	.	.	.	.	FRA	TUR	.	.	.	.	.
TUR	Turkey	780576.0	332.3085	0.0	Europe	1.0	25	Turkish	.	.	Turkish	.	.	.	Kurmanji	.	.	.	.	.	.	.	.	.	.
TUR	Turkey	780576.0	332.3085	0.0	Europe	0.0	25	Turkish	.	.	Turkish	.	.	.	Kurmanji	.	.	.	.	.	.	.	.	.	.
TUV	Tuvalu	26.0	1.917876	0.0	Pacific	1.0	8	Tuvaluan	.	.	Tuvaluan	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
TWN	Taiwan	35875.0	71.24096	0.0	Asia	1.0	25	Chinese	.	.	Chinese Hakka	Chinese Mandarin	Chinese Min Nan	.	.	.	.	.	JPN	.	.	.	CHN	.	.
TZA	Tanzania, United Rep. of 	945090.0	365.6541	0.0	Africa	1.0	25	English	Swahili	.	Swahili	.	.	.	Sukuma	.	.	.	GBR	.	.	.	.	.	.
TZA	Tanzania, United Rep. of 	945090.0	365.6541	0.0	Africa	0.0	25	English	Swahili	.	Swahili	.	.	.	Sukuma	.	.	.	GBR	.	.	.	.	.	.
UGA	Uganda	241038.0	184.6616	1.0	Africa	1.0	25	English	.	.	Ganda	.	.	.	English	.	.	.	GBR	.	.	.	.	.	.
UKR	Ukraine	603677.0	292.2376	0.0	Europe	1.0	25	Ukrainian	.	.	Ukrainian	.	.	.	.	.	.	.	RUS	.	.	.	.	.	.
URY	Uruguay	176215.0	157.8902	0.0	America	1.0	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	BRA	.	.
USA	United States of America	9529106.0	1161.0739999999996	0.0	America	1.0	25	English	.	.	English	.	.	.	Spanish	.	.	.	GBR	FRA	ESP	.	.	.	.
USA	United States of America	9529106.0	1161.0739999999996	0.0	America	0.0	25	English	.	.	English	.	.	.	Spanish	.	.	.	GBR	FRA	ESP	.	.	.	.
UZB	Uzbekistan	447400.0	251.5833	1.0	Asia	1.0	25	Uzbek	.	.	Uzbek	.	.	.	.	.	.	.	RUS	.	.	.	.	.	.
VCT	Saint Vincent and the Grenadines	389.0	7.418372	0.0	America	1.0	10	English	.	.	English	Windward Caribbean Creole English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
VEN	Venezuela	911930.0	359.182	0.0	America	1.0	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
VNM	Viet Nam	331114.0	216.4326	0.0	Asia	1.0	25	Vietnamese	.	.	Vietnamese	.	.	.	.	.	.	.	FRA	.	.	.	.	.	.
VUT	Vanuatu	14763.0	45.70052	0.0	Pacific	1.0	8	English	French	Bismala	English	French	Bismala	.	.	.	.	.	GBR	FRA	.	.	.	.	.
WSM	Samoa	2842.0	20.05145	0.0	Pacific	1.0	11	Samoan	English	.	Samoan	English	.	.	.	.	.	.	DEU	NZL	.	.	.	.	.
YEM	Yemen	547244.0	278.243	0.0	Asia	1.0	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	GBR	TUR	.	.	.	.	.
YUG	Serbia and Montenegro	102173.0	120.227	0.0	Europe	1.0	25	Serbo-Croatian	.	.	Serbo-Croatian	.	.	.	Albanian	.	.	.	TUR	.	.	.	.	.	.
ZAF	South Africa	1219912.0	415.4302	0.0	Africa	0.0	25	English	.	.	Zoulou	Xhosa	English	.	Afrikaans	Shoto	.	.	GBR	NLD	.	.	.	.	.
ZAF	South Africa	1219912.0	415.4302	0.0	Africa	1.0	25	English	.	.	Zoulou	Xhosa	English	.	Afrikaans	Shoto	.	.	GBR	NLD	.	.	.	.	.
COD	Congo (Democratic Republic of the)	2345410.0	576.0275	0.0	Africa	1.0	25	French	.	.	Swahili	Lingala	.	.	Kikongo	Luba-Kasai	French	.	BEL	.	.	.	.	.	.
ZMB	Zambia	752614.0	326.3022	1.0	Africa	1.0	25	English	.	.	English	.	.	.	Nyanja	Tonga	.	.	GBR	.	.	.	.	.	.
ZWE	Zimbabwe	390759.0	235.1193	1.0	Africa	1.0	25	English	.	.	Shona	English	.	.	Ndebele	.	.	.	GBR	.	.	.	.	.	.
SRB	Serbia	102173.0	120.227	0.0	Europe	1.0	25	Serbo-Croatian	.	.	Serbo-Croatian	.	.	.	Albanian	.	.	.	TUR	.	.	.	.	.	.
MNE	Montenegro	102173.0	120.227	0.0	Europe	1.0	25	Serbo-Croatian	.	.	Serbo-Croatian	.	.	.	Albanian	.	.	.	TUR	.	.	.	.	.	.
MCO	Monaco				Europe																				
LIE	Liechtenstein				Europe																				
SSD	South Sudan				Asia																				
PSE	Palestine, State of				Asia																				
